date,price_usd,inr_per_usd,gold_price_inr,fed_intrest_rate,inflation_yoy,gold_return_1d,inr_change_1d,gold_inr_return_1d
1994-10-01,383.1,31.3726,12018.84306,4.76,2.609890109890123,-0.15637216575448143,0.000956257590289944,-0.15541740348490318
1994-11-01,383.1,31.394,12027.0414,5.29,2.602739726027403,0.0,0.06821238915486472,0.06821238915486472
1994-12-01,385.3,31.3894,12094.33582,5.45,2.597402597402576,0.5742625946228097,-0.014652481365862169,0.5595259695372778
1995-01-01,387.4,31.3736,12154.13264,5.53,2.8708133971291794,0.545029846872569,-0.050335463564132876,0.4944200400084364
1995-02-01,399.5,31.3795,12536.11025,5.92,2.862985685071595,3.1233866804336596,0.018805620011730362,3.1427796726759993
1995-03-01,404.8,31.5865,12786.2152,5.98,2.7872195785180187,1.32665832290364,0.6596663426759575,1.9950761840180853
1995-04-01,396.2,31.4073,12443.572259999999,6.05,3.125000000000022,-2.1245059288537593,-0.5673309800072857,-2.679783928554569
1995-05-01,392.9,31.4179,12344.09291,6.01,3.1186440677966054,-0.8329126703685019,0.033750115419017845,-0.7994436639370606
1995-06-01,391.9,31.4037,12307.11003,6.0,3.0425963488843744,-0.2545176889793832,-0.04519716467363821,-0.2995998188740079
1995-07-01,385.3,31.3853,12092.75609,5.85,2.8301886792452717,-1.684103087522315,-0.058591821982756365,-1.741708162822031
1995-08-01,383.5,31.5923,12115.647050000001,5.74,2.617449664429538,-0.46716844017649084,0.6595444364081215,0.18929481277580873
1995-09-01,387.3,33.3098,12900.885540000001,5.8,2.54521098459477,0.990873533246428,5.4364512871807325,6.481193177379652
1995-10-01,383.2,34.6564,13280.33248,5.76,2.7443105756358666,-1.0586108959462992,4.042654113804334,2.9412472409238832
1995-11-01,381.1,34.71,13227.981000000002,5.8,2.603471295060067,-0.5480167014613735,0.15466118812110796,-0.39420308248184766
1995-12-01,377.9,34.9663,13213.764769999998,5.6,2.5316455696202667,-0.8396746260824095,0.7384039181791868,-0.10747089824216793
